,书名,作者,评分,a,评价人数,b,简介
102,"月亮忘記了
","['幾米 ', ' 格林 ', ' 2000-2-1 ', ' NT$ 299\n']","8.6
","数：(
","                 37084人评价
","             )
","月明星稀的晚上，看不见的，看见了
"
103,"此间的少年
","['江南 ', ' 华文出版社 ', ' 2004-1 ', ' 25.00元\n']","8.4
","数：(
","                 37685人评价
","             )
","象牙塔里的金庸群侠
"
104,"孤独六讲
","['蒋勋 ', ' 广西师范大学出版社 ', ' 2009-10-1 ', ' 36.00元\n']","8.1
","数：(
","                 39351人评价
","             )
","作为一种美学的孤独
"
105,"一个人的朝圣
","['【英】蕾秋·乔伊斯 ', ' 黄妙瑜 ', ' 北京联合出版公司 ', ' 2013-9-1 ', ' 32.80\n']","8.1
","数：(
","                 39020人评价
","             )
","关于爱和信念的旅行
"
106,"阿Q正传
","['鲁迅 ', ' 上海书店出版社 ', ' 2003-7 ', ' 14.50元\n']","8.7
","数：(
","                 35542人评价
","             )
","哀其不幸，怒其不争
"
107,"一個人住第5年
","['高木直子 ', ' 洪俞君 ', ' 大田 ', ' 2004-12-1 ', ' NT$220\n']","8.4
","数：(
","                 36197人评价
","             )
","独居生活之乐
"
108,"步步惊心
","['桐华 ', ' 民族出版社 ', ' 2006-6 ', ' 25.00元\n']","8.1
","数：(
","                 37508人评价
","             )
","现世太苦，不如穿越回去从头来过
"
109,"刀锋
","['[英]毛姆 ', ' 周煦良 ', ' 上海译文出版社 ', ' 2007-3 ', ' 18.00元\n']","9.0
","数：(
","                 33225人评价
","             )
","一把刀的锋刃不容易越过；因此智者说得救之道是困难的
"
110,"常识
","['梁文道 ', ' 广西师范大学出版社 ', ' 2009-1 ', ' 38.00\n']","8.1
","数：(
","                 37079人评价
","             )
","献给这个常识稀缺的时代
"
111,"寻路中国
","['[美] 彼得·海斯勒 ', ' 李雪顺 ', ' 上海译文出版社 ', ' 2011-1 ', ' 33.00元\n']","9.0
","数：(
","                 32984人评价
","             )
","中国在路上，非虚构写作所能达到的高度
"
112,"一只特立独行的猪
","['王小波 ', ' 北方文艺出版社 ', ' 2006-4 ', ' 18.80元\n']","8.8
","数：(
","                 34045人评价
","             )
","生活就是个缓慢受锤的过程，至少还可以特立独行
"
113,"孩子你慢慢来
","['龙应台 ', ' 生活·读书·新知三联书店 ', ' 2009-12-1 ', ' 28.00元\n']","8.8
","数：(
","                 33689人评价
","             )
","我们现在怎样做母亲
"
114,"荆棘鸟
","['[澳] 考琳·麦卡洛 ', ' 曾胡 ', ' 译林出版社 ', ' 1998-7 ', ' 28.00元\n']","8.6
","数：(
","                 34082人评价
","             )
","澳洲乱世情
"
115,"时间旅行者的妻子
","['[美] 奥德丽·尼芬格 ', ' 夏金 ', ' 人民文学出版社 ', ' 2007-4 ', ' 29.90元\n']","8.1
","数：(
","                 36529人评价
","             )
","在时间的缝隙中穿行，然后相遇
"
116,"梦里花落知多少
","['三毛 ', ' 北京十月文艺出版社 ', ' 2007-6 ', ' 28.00元\n']","8.8
","数：(
","                 33069人评价
","             )
","哀而不伤
"
117,"哭泣的骆驼
","['三毛 ', ' 哈尔滨出版社 ', ' 2003-6 ', ' 15.80元\n']","8.9
","数：(
","                 32249人评价
","             )
","沙漠中寻常的生与死
"
118,"格林童话全集
","['格林兄弟 ', ' 魏以新 ', ' 人民文学出版社 ', ' 1994-11 ', ' 21.45元\n']","8.9
","数：(
","                 31729人评价
","             )
","许多隐晦
"
119,"你好，旧时光（上 下）
","['八月长安 ', ' 新世界出版社 ', ' 2009-12 ', ' 39.80元\n']","8.8
","数：(
","                 31990人评价
","             )
","原作名切题
"
120,"尘埃落定
","['阿来 ', ' 人民文学出版社 ', ' 1998-3-1 ', ' 22.0\n']","8.4
","数：(
","                 33594人评价
","             )
","一个傻子的土司家族传奇
"
121,"麦琪的礼物
","['[美] 欧·亨利 ', ' 张经浩 ', ' 上海社会科学院出版社 ', ' 2003-7 ', ' 25.00元\n']","8.6
","数：(
","                 32861人评价
","             )
","日常的奇迹
"
122,"城南旧事
","['林海音 文 ', ' 中国青年出版社 ', ' 2003-7 ', ' 16.00元\n']","8.9
","数：(
","                 31528人评价
","             )
","长亭外，古道边，芳草碧连天
"
123,"失恋33天
","['鲍鲸鲸 ', ' 中信出版社 ', ' 2010-1 ', ' 25.00元\n']","8.1
","数：(
","                 34966人评价
","             )
","失恋是一种病，痊愈之后百毒不侵
"
124,"那些回不去的年少时光
","['桐华 ', ' 江苏文艺出版社 ', ' 2010-01 ', ' 23.80元\n']","8.5
","数：(
","                 32258人评价
","             )
","所有你曾热爱却正在遗忘的人和事
"
125,"我不喜欢这世界，我只喜欢你
","['乔一 ', ' 湖南少年儿童出版社 ', ' 2015-5-1 ', ' 29.80元\n']","8.0
","数：(
","                 32844人评价
","             )
","一想到能和你共度余生，我就对余生充满期待
"
126,"金锁记
","['张爱玲 ', ' 哈尔滨出版社 ', ' 2005-6 ', ' 13.5元\n']","8.5
","数：(
","                 32633人评价
","             )
","曹七巧就像希克厉，一个扭曲的英雄
"
127,"海贼王
","['尾田荣一郎 ', ' 董科 ', ' 浙江人民美术出版社 ', ' 2007-11 ', ' 7.50元\n']","9.5
","数：(
","                 28107人评价
","             )
","热血，梦想，希望
"
128,"历史深处的忧虑
","['林达 ', ' 生活·读书·新知三联书店 ', ' 1997-5 ', ' 19.00元\n']","9.0
","数：(
","                 29747人评价
","             )
","窥见美国社会的一扇窗
"
129,"菊与刀
","['（美）鲁思・本尼迪克特 ', ' 吕万和 ', ' 商务印书馆 ', ' 1990-6 ', ' 16.00\n']","8.2
","数：(
","                 33173人评价
","             )
","复杂矛盾的日本民族
"
130,"悲惨世界（上中下）
","['[法] 雨果 ', ' 李丹 ', ' 人民文学出版社 ', ' 1992-6 ', ' 66.00元\n']","8.9
","数：(
","                 29597人评价
","             )
","现实主义与浪漫主义的至高杰作
"
131,"球状闪电
","['刘慈欣 ', ' 四川科学技术出版社 ', ' 2005-6 ', ' 22.00元\n']","8.7
","数：(
","                 30543人评价
","             )
","量子之外，没有真相
"
132,"鹿鼎记（全五册）
","['金庸 ', ' 广州出版社 花城出版社 ', ' 2008-3 ', ' 108.00元\n']","8.8
","数：(
","                 30067人评价
","             )
","武侠的解构，流氓的狂欢
"
133,"史蒂夫·乔布斯传
","['[美] 沃尔特·艾萨克森 ', ' 管延圻 ', ' 中信出版社 ', ' 2011-10-24 ', ' 68.00元\n']","8.7
","数：(
","                 30304人评价
","             )
","完美主义者的最高形态
"
